Order Reference,Order Date,Delivery Date,Customer,Salesperson,Status,Product,Product Name,Product Qty,Unit Price,Subtotal,id,phone,email,user_id/login,street,city,country_id/id,Name,Variant Tags,Variant Values,Internal Reference,Sales Price,Cost_y,Activity Exception Decoration
SO01000,2024-06-16,2025-03-03,"Hall, Todd and Lopez",Vanessa Griffith,Sales Order,NEW_SKU_1018,Scale leading-edge roi,20,335.75,6715.0,__import__.partner_0,699693551.0,"hall,_todd_and_lopez@example.com",mitchell.admin@example.com,767 Example St,City23,base.us,Product NEW_SKU_1018,Size,Steel,INT-8798,351.63,11.2,info
SO01001,2024-12-11,2025-03-08,Ellis-Conner,Amy Lowe,Sales Order,NEW_SKU_1084,Extend value-added mindshare,10,262.88,2628.8,__import__.partner_1,660405692.0,ellis-conner@example.com,mitchell.admin@example.com,832 Example St,City21,base.us,Product NEW_SKU_1084,Power,Red,INT-4654,185.05,234.84,info
SO01002,2024-06-14,2024-12-31,Becker-Lopez,Donna Cherry,Sales Order,NEW_SKU_1072,Harness global roi,10,264.32,2643.2,__import__.partner_2,692420494.0,becker-lopez@example.com,mitchell.admin@example.com,613 Example St,City99,base.us,Product NEW_SKU_1072,Material,200W,INT-4964,302.19,40.44,warning
SO01003,2024-04-25,2025-03-01,Gonzalez-Ellis,Robert Flores,Sales Order,NEW_SKU_1046,Cultivate open-source markets,15,193.56,2903.4,__import__.partner_3,627157631.0,gonzalez-ellis@example.com,mitchell.admin@example.com,631 Example St,City31,base.us,Product NEW_SKU_1046,Power,Steel,INT-8122,106.07,104.62,warning
SO01004,2024-08-25,2025-01-08,Horn LLC,Kendra Mcdonald,Sales Order,NEW_SKU_1028,Visualize turn-key solutions,19,360.82,6855.58,__import__.partner_4,690209490.0,horn_llc@example.com,mitchell.admin@example.com,950 Example St,City26,base.us,Product NEW_SKU_1028,Color,Red,INT-4922,327.12,90.13,success
SO01005,2024-06-27,2025-05-22,"Williams, Moran and Willis",Jo Rodriguez,Sales Order,NEW_SKU_1084,Extend value-added mindshare,1,262.88,262.88,__import__.partner_5,696753804.0,"williams,_moran_and_willis@example.com",mitchell.admin@example.com,425 Example St,City75,base.us,Product NEW_SKU_1084,Color,Large,INT-9122,110.96,241.3,error
SO01006,2024-05-07,2025-05-13,Smith-Williams,Patrick Gomez,Sales Order,NEW_SKU_1096,Synergize synergistic communities,9,393.3,3539.7000000000003,__import__.partner_6,641190294.0,smith-williams@example.com,mitchell.admin@example.com,73 Example St,City33,base.us,Product NEW_SKU_1096,Material,Red,INT-6689,496.6,57.15,warning
SO01007,2024-08-31,2024-11-08,Patel Group,Joan Short DVM,Sales Order,NEW_SKU_1055,Visualize intuitive applications,5,255.12,1275.6,__import__.partner_7,650985586.0,patel_group@example.com,mitchell.admin@example.com,90 Example St,City31,base.us,Product NEW_SKU_1055,Size,Large,INT-9755,122.7,144.12,error
SO01008,2024-10-15,2025-02-28,Weiss LLC,John Adams,Sales Order,NEW_SKU_1076,Evolve e-business functionalities,5,137.67,688.3499999999999,__import__.partner_8,628241204.0,weiss_llc@example.com,mitchell.admin@example.com,436 Example St,City91,base.us,Product NEW_SKU_1076,Power,Steel,INT-5159,319.11,283.59,info
SO01009,2024-12-22,2025-01-29,"Marquez, Davis and Jennings",Antonio Dillon,Sales Order,NEW_SKU_1022,Re-contextualize enterprise infrastructures,11,370.45,4074.95,__import__.partner_9,628978560.0,"marquez,_davis_and_jennings@example.com",mitchell.admin@example.com,450 Example St,City34,base.us,Product NEW_SKU_1022,Size,Large,INT-1717,343.53,273.45,warning
